"siteID","COMID","lat","lon","huc8","HUC2","DA","CLASS","obs","name","county","FID","Precip_mmperyear","PET_mmperyear","AI","dams","NID_str","Mx_strg","Nrml_st"
"01010000",4289887,46.7005307305,-69.7155688704,1010001,1,3516.8067,"non-natural",9496,"St. John River at Ninemile Bridge, Maine","Aroostook",0,978.063,1057.6,1.08132093740383,0,0,0,0
"01010070",4289553,46.893836453,-69.7516625184,1010001,1,505.071,"non-natural",9496,"Big Black River near Depot Mtn, Maine","Aroostook",1,823.901,1110.03,1.34728565689324,0,0,0,0
"01010500",4288603,47.1130785621,-69.0880360689,1010001,1,7039.836,"non-natural",9496,"St. John River at Dickey, Maine","Aroostook",2,938.419,1080.22,1.15110627555495,0,0,0,0
"01011000",721640,47.0696617685,-69.0794215098,1010002,1,3197.97,"non-natural",9496,"Allagash River near Allagash, Maine","Aroostook",3,999.417,1041.78,1.04238771203612,2,204200,204200,179000
"01013500",724696,47.2374520247,-68.5826241371,1010003,1,2259.1683,"natural",9496,"Fish River near Fort Kent, Maine","Aroostook",4,1011.46,1018.98,1.00743479722382,1,250,250,215
"01015800",805443,46.5229748787,-68.3717320525,1010004,1,2318.409,"non-natural",9496,"Aroostook River near Masardis, Maine","Aroostook",5,1044.15,1042.78,0.998687927979696,1,22900,22900,22900
"01017000",805113,46.7772944107,-68.1572020214,1010004,1,4286.1474,"non-natural",9496,"Aroostook River at Washburn, Maine","Aroostook",6,1029.91,1033.47,1.00345661271373,3,82305,82305,82280
"01019000",5196478,45.1725500826,-67.7688533709,1050001,1,580.1967,"non-natural",9496,"Grand Lake Stream at Grand Lake Stream, Maine","Washington",7,1182.84,1163.9,0.98398769064286,3,161423,NA,161024
"01021000",5197200,45.1369409591,-67.3180446222,1050001,1,3550.5216,"non-natural",9496,"St. Croix River at Baring, Maine","Washington",8,1141.34,1190.95,1.04346645171465,9,820333,NA,724700
"01022500",2677104,44.607998875,-67.9352198455,1050002,1,840.843,"natural",9496,"Narraguagus River at Cherryfield, Maine","Washington",9,1163.27,1177.9,1.01257661591892,2,60765,60765,10215
"01030500",3923,45.5011326104,-68.3058836448,1020003,1,3673.7505,"natural",9496,"Mattawamkeag River near Mattawamkeag, Maine","Penobscot",10,1135.85,1107.43,0.974979090548928,2,94002,94002,22952
"01031500",1722317,45.174998618,-69.314722201,1020004,1,773.964,"natural",9496,"Piscataquis River near Dover-Foxcroft, Maine","Piscataquis",11,1153.41,1116.43,0.967938547437598,6,6644,NA,4455
"01034000",1720007,45.2605934109,-68.86859346,1020004,1,3014.8335,"non-natural",9496,"Piscataquis River at Medford, Maine","Piscataquis",12,1172.4,1123.03,0.957889798703514,20,106694,NA,NA
"01034500",1733994,45.2361201395,-68.6513666215,1020005,1,17275.0644,"non-natural",9496,"Penobscot River at West Enfield, Maine","Penobscot",13,1127.25,1094.95,0.971346196495897,75,3979614,NA,NA
"01038000",5202858,44.2227727769,-69.5937503258,1050003,1,376.1829,"non-natural",9496,"Sheepscot River at North Whitefield, Maine","Lincoln",14,1152.44,1124.5,0.975755787719968,6,23160,23160,17975
"01042500",1025264,45.3397567119,-69.9620203569,1030001,1,4124.6505,"non-natural",9496,"Kennebec River at The Forks, Maine","Somerset",15,1136.63,1105.71,0.972796776435603,14,2641875,2641875,2631423
"01046500",3319220,45.0520199796,-69.8854791704,1030003,1,7080.7446,"non-natural",9496,"Kennebec River at Bingham, Maine","Somerset",16,1163.38,1104.99,0.949810036273616,25,3169699,3169699,NA
"01047000",3321976,44.869137883,-69.9550219831,1030003,1,905.0886,"natural",9496,"Carrabassett River near North Anson, Maine","Somerset",17,1220.79,1120.42,0.917782747237445,6,2694,2694,2380
"01048000",3322258,44.7081793029,-69.9375093734,1030003,1,1338.3477,"non-natural",9496,"Sandy River near Mercer, Maine","Somerset",18,1189.88,1116.57,0.938388745083538,4,16338,16338,12875
"01049500",3324780,44.2291276074,-69.7780233233,1030003,1,561.4632,"non-natural",9496,"Cobbosseecontee Stream at Gardiner, Maine","Kennebec",19,1151.36,1119.05,0.971937534741523,14,98549,98549,74494
"01053500",19334535,44.7824968885,-71.1286853426,1040001,1,2706.9417,"non-natural",9496,"Androscoggin River at Errol, NH","Coos",20,1170.99,1066.81,0.911032545111401,14,1094968,1094968,883341
"01054200",6716129,44.3905635697,-70.9797066948,1040002,1,181.3347,"natural",9496,"Wild River at Gilead, Maine","Oxford",21,1297.04,1109.33,0.855278171837414,0,0,0,0
"01054500",6710311,44.5519786979,-70.5441003324,1040002,1,5355.2511,"non-natural",9496,"Androscoggin River at Rumford, Maine","Oxford",22,1192.82,1082.35,0.907387535420265,36,1117177,1117177,NA
"01055000",6709987,44.6428066119,-70.588851425,1040002,1,251.3115,"natural",9496,"Swift River near Roxbury, Maine","Oxford",23,1136.01,1109.27,0.976461474810961,0,0,0,0
"01057000",6711893,44.3039714845,-70.5396537622,1040002,1,198.5652,"natural",9496,"Little Androscoggin River near South Paris, Maine","Oxford",24,1175.65,1134.61,0.96509165142687,4,9926,9926,8470
"01059000",6712623,44.0722201206,-70.2080203135,1040002,1,8479.2591,"non-natural",9496,"Androscoggin River near Auburn, Maine","Androscoggin",25,1197.77,1095.08,0.914265677049851,87,1332944,1332944,NA
"01064500",9316375,43.9908102501,-71.0904812614,1060002,1,1003.4586,"non-natural",9496,"Saco River near Conway, NH","Carroll",26,1405.79,1113.64,0.792180908955107,2,431,431,235
"01073000",5845058,43.1486283755,-70.9650428927,1060003,1,32.0427,"natural",9496,"OYSTER RIVER NEAR DURHAM, NH","Strafford",27,1176.01,1248.43,1.06158110900418,0,0,0,0
"01073500",5845142,43.1027545245,-70.9526479987,1060003,1,471.8646,"non-natural",9496,"LAMPREY RIVER NEAR NEWMARKET, NH","Strafford",28,1158.69,1240.43,1.07054518464818,11,44952.9,44952.9,40890.39
"01076500",6731463,43.7593104002,-71.6853283999,1070001,1,1629.504,"non-natural",9496,"PEMIGEWASSET RIVER AT PLYMOUTH, NH","Grafton",29,1284.63,1117.27,0.869721242692448,17,16724.69,16724.69,2414.1
"01078000",6731199,43.5673193206,-71.7477335721,1070001,1,221.751,"natural",9496,"SMITH RIVER NEAR BRISTOL, NH","Merrimack",30,1128.42,1171.45,1.03813296467627,2,1017,1017,610
"01089100",6740400,43.213701674,-71.4803324716,1070002,1,213.4728,"non-natural",9496,"SOUCOOK RIVER, AT PEMBROKE ROAD, NEAR CONCORD, NH","Merrimack",31,1091.06,1201.76,1.10146096456657,7,3414,3414,905
"01092000",6745688,42.9491072277,-71.4627821121,1070002,1,7987.3641,"non-natural",9496,"MERRIMACK R NR GOFFS FALLS, BELOW MANCHESTER, NH","Hillsborough",32,1182.22,1173.51,0.992632504948318,218,1583296.91,1583296.91,416412.45
"01094400",6075713,42.5762211561,-71.7879199517,1070004,1,171.7488,"non-natural",9496,"NORTH NASHUA RIVER AT FITCHBURG, MA","Worcester",33,1218.72,1250.3,1.02591243271629,21,15971.7,15971.7,7604.04
"01094500",6078037,42.4953315616,-71.7218852585,1070004,1,282.7125,"non-natural",9496,"NORTH NASHUA RIVER NEAR LEOMINSTER, MA","Worcester",34,1214.95,1256.14,1.03390262973785,39,31378.15,31378.15,16844.71
"01096000",6076039,42.634146982,-71.658001684,1070004,1,171.8802,"non-natural",9496,"SQUANNACOOK RIVER NEAR WEST GROTON, MA","Middlesex",35,1221.11,1256.34,1.02885079968226,8,3577.25,3577.25,2265.94
"010965852",6744642,42.783259255,-71.3536985276,1070002,1,124.8192,"non-natural",9496,"BEAVER BROOK AT NORTH PELHAM, NH","Rockingham",36,1153.2,1259.91,1.09253381893861,8,1884,1884,771
"01097000",6772217,42.4323371734,-71.4499693489,1070005,1,301.5423,"non-natural",9496,"ASSABET RIVER AT MAYNARD, MA","Middlesex",37,1225.56,1313.13,1.07145305003427,27,35150.08,35123.08,NA
"01098530",6772927,42.3253259641,-71.3974487782,1070005,1,274.7043,"non-natural",9496,"SUDBURY RIVER AT SAXONVILLE, MA","Middlesex",38,1199.73,1335.17,1.11289206738183,22,69085.55,69085.55,NA
"01099500",6771379,42.6368034964,-71.3019440506,1070005,1,1035.423,"non-natural",9496,"CONCORD R BELOW R MEADOW BROOK, AT LOWELL, MA","Middlesex",39,1195.5,1321.28,1.10521120869929,72,112327.24,112300.24,NA
"01100000",6746184,42.6464371968,-71.298104535,1070002,1,11990.9169,"non-natural",9496,"MERRIMACK RIVER BL CONCORD RIVER AT LOWELL, MA","Middlesex",40,1177.97,1202.7,1.02099374347394,480,NA,NA,NA
"01100600",6745188,42.5681154745,-71.2151931698,1070002,1,79.8246,"non-natural",9496,"SHAWSHEEN RIVER NEAR WILMINGTON, MA","Middlesex",41,1167.7,1318.73,1.12933972766978,2,56.69,56.69,19.74
"01101000",5860613,42.7526273257,-70.9456405167,1090001,1,56.0376,"non-natural",9496,"PARKER RIVER AT BYFIELD, MA","Essex",42,1169.89,1190.43,1.01755720623306,2,830,830,340
"01101500",5862629,42.5696365195,-71.0269922137,1090001,1,121.0707,"non-natural",9496,"IPSWICH RIVER AT SOUTH MIDDLETON, MA","Essex",43,1164.12,1286.09,1.10477442188091,8,6235.5,6235.5,5037.5
"01102000",5860401,42.6596495738,-70.8936938041,1090001,1,323.9748,"non-natural",9496,"IPSWICH RIVER NEAR IPSWICH, MA","Essex",44,1173.85,1212.95,1.03330919623461,30,38879.79,38879.79,31212.85
"01102500",5867393,42.4473185374,-71.138453648,1090001,1,80.8614,"non-natural",9496,"ABERJONA RIVER AT WINCHESTER, MA","Middlesex",45,1167.28,1325.56,1.13559728599822,5,2783,2783,1725
"01103500",5867435,42.2563190683,-71.260001957,1090001,1,476.8776,"non-natural",9496,"CHARLES RIVER AT DOVER, MA","Norfolk",46,1215.77,1347.66,1.10848268998248,27,9909.41,9909.41,6060.62
"01104000",5867457,42.2547566297,-71.1644391775,1090001,1,1.4481,"non-natural",9496,"MOTHER BROOK AT DEDHAM, MA","Norfolk",47,1210.11,1349.12,1.11487385444298,0,0,0,0
"01104500",5868225,42.372550115,-71.2337486253,1090001,1,648.0387,"non-natural",9496,"CHARLES RIVER AT WALTHAM, MA","Middlesex",48,1212.94,1347.55,1.11097828416904,46,38888.41,38888.41,22507.62
"01105000",5867537,42.1775674296,-71.2008906346,1090001,1,97.5888,"non-natural",9496,"NEPONSET RIVER AT NORWOOD, MA","Norfolk",49,1215.61,1350.14,1.1106687177631,13,6820.6,6820.6,3812.21
"01105600",5863773,42.1901465586,-70.944915088,1090001,1,11.826,"non-natural",9496,"OLD SWAMP RIVER NEAR SOUTH WEYMOUTH, MA","Norfolk",50,1251.99,1333.98,1.06548774351233,0,0,0,0
"011058837",5878731,41.5922456183,-70.5076871879,1090002,1,28.9728,"non-natural",9496,"QUASHNET RIVER AT WAQUOIT VILLAGE, MA","Barnstable",51,1174.3,1105.48,0.941394873541684,1,1380,1380,680
"01109000",6129519,41.9474194682,-71.1765113333,1090004,1,113.0418,"non-natural",9496,"WADING RIVER NEAR NORTON, MA","Bristol",52,1220.1,1359.58,1.11431849848373,11,2983.41,2983.41,1923.38
